title,author
Der Medicus von Saragossa,"Gordon, Noah"
Ronja Räubertochter,"Lindgren, Astrid"
Die schwarzen Brüder,"Tetzner, Lisa"
Die rote Zora,"Held, Kurt"
Die unendliche Geschichte,"Ende, Michael"
Das doppelte Lottchen,"Kästner, Erich"
In 80 Tagen um die Welt,"Verne, Jules"
Meine ersten Weihnachtsgeschichten,Künzler-Behncke Rosmarie
"Frohe Weihnachten, liebes Christkind!","Heuck, Sigrid"
Onkel Toms Hütte,"Stowe, Harriet Beecher"
Mein Name ist Eugen,"Schädelin, Klaus"
Bad Sonder,"Clercq, Catherine de"
Wir warten aufs Christkind,"Franke, Christina"
Die schönsten Frühlings und Ostergeschichten,"Gieseler, Corinna"
Die Sticker,"Gerter, Elisabeth"
Der Medicus,"Gordon, Noah"
Hier kommt Lola!,"Abedi, Isabel"
"Engel, Hase, Bommelmütze","Weninger, Brigitte"
Lola macht Schlagzeilen,"Abedi, Isabel"
Die Abenteuer des starken Wanja,"Preussler, Otfried"
Der kleine Elch und das Weihnachtswunder,Thilo
Laura sucht den Weihnachtsmann,
Adventsgeschichten,
Igraine Ohnefurcht,"Funke, Cornelia"
Die Dreierbande und der verdächtige Fotograf,"Stellmacher, Hermien"
Fette Fische,"Hiaasen, Carl"
Emma traut sich was,"Vogel, Maja von"
ERAGON - Das Vermächtnis der Drachenreiter - Band,"Paolini, Christopher"
KAROLINA WÜNSCHT SICH EINEN KOBOLD,"Geisler, Dagmar"
Für alle Fälle Emma,"Vogel, Maja von"
Applaus für Lola,"Abedi, Isabel"
Nikolausgeschichten,"Zöller, Elisabeth"
Monster Mia - und das entführte Drachenbaby - Band,"Saddlewick, A.B"
Der kleine Drache Kokosnuss - im Spukschloss - Band 010,"Siegner, Ingo"
Der kleine Drache Kokosnuss - und die starken Wikinger -,"Siegner, Ingo"
Fussballfieber - Spannende Kickergeschichten,"Lenk, Fabian"
Klassenreise an die See,"Wiechmann, Heike"
Liliane Susewind - Ein Nilpferd auf dem Zebrastreifen -,"Stewner, Tanya"
Liliane Susewind - Viel Gerenne um eine Henne - Band,"Stewner, Tanya"
Die drei ??? Kids - Band 66 - Geheimnis im Meer,"Blanck, Ulf"
ERAGON - Der Aufrag des Ältesten - Band 002,"Paolini, Christopher"
Himmelschlüssel - Band 4,"Ohlsson, Kristina"
Die drei ??? Kids - Band 32 - Die Gruselfalle,"Pfeiffer, Boris"
Der kleine Drache und der Monsterhund,Meyer-Dietrich Inge
Verrückt nach Emma,"Vogel, Maja von"
Robinson Crusoe,"Defoe, Daniel"
Fünf Freunde - und der Hexenring - Band 053,"Blyton, Enid"
Fünf Freunde - auf hoher See - Band 054,"Blyton, Enid"
"Viel Lärm um Lila, die fabelhaften Vier","Dierks, Martina"
Vergebung Band 3,"Larsson, Stieg"
Die Tore der Welt,"Follett, Ken"
"Verdammnis, Band 2","Larsson, Stieg"
"Verblendung, Band 1","Larsson, Stieg"
Das magische Baumhaus - Band 014 - Im Land der,"Osborne, Mary Pope"
Blätterteig und Völkerball,"Ettlin, Tony"
Seelen,"Meyer, Stephenie"
Der Katalane,"Gordon, Noah"
Das magische Baumhaus - Band 009 - Der Ruf der,"Osborne, Mary Pope"
Das magische Baumhaus - Band 032 - Der gestohlene,"Osborne, Mary Pope"
Der kleine König feiert Weihnachten,"Munck, Hedwig"
Die drei ??? Kids - Band 016 - Der magische Brunnen,"Blanck, Ulf"
Das grosse Buch vom Räuber Grapsch,"Pausewang, Gudrun"
Das magische Baumhaus - Band 035 - Angriff des,"Osborne, Mary Pope"
Das magische Baumhaus - Band 002 - Der,"Osborne, Mary Pope"
Gepardensommer,"Brandis, Katja"
Die Kaminski-Kids - Band 002 - Mega Zoff!,"Meier, Carlo"
Das fliegende Klassenzimmer,"Kästner, Erich"
Emma will`s wissen,"Vogel, Maja von"
Neues vom Räuber Hotzenplotz,"Preussler, Otfried"
Fünf Freunde - Band 052 - im Gruselschloss,"Blyton, Enid"
Die Chemie des Todes,"Beckett, Simon"
Fünf Freunde - Band 059 - jagen den rätselhaften,"Blyton, Enid"
Magic Girls - Gefangen in der Unterwelt,"Arold, Marliese"
Spielmacher - Sport-Krimi,"Schlüter, Andreas"
Abgetaucht - Sport-Krimi,"Schlüter, Andreas"
Die Kaminski-Kids - Band 007 - Entscheidung im Park,"Meier, Carlo"
Ein Fall für Kommissar Maroni,"Obrist, Jürg"
Die drei ??? - Band 149 - Der namenlose Gegner,"Erlhoff, Kari"
Madita,"Lindgren, Astrid"
Die Tribute von Panem - Band 01 - Tödliche Spiele,"Collins, Suzanne"
Der Elefantentempel,"Brandis, Katja"
Die drei ??? - Band 153 - Und das Fussballphantom,"Sonnleitner, Marco"
Magic Girls - Die grosse Prüfung,"Arold, Marliese"
Als Opa alles auf den Kopf stellte,"Musgrove, Marianne"
ERAGON - Band 003 - Die Weisheit des Feuers,"Paolini, Christopher"
Ferien im Schrank,"Roeder, Annette"
Emilys Rückkehr,"Kessler, Katja"
Aufregung um Knuffel,"Bach, Berit"
Die drei ??? Kids - Band 008 - Angriff der Roboter,"Pfeiffer, Boris"
Die drei ??? Kids - Band 043 - Duell der Ritter,"Blanck, Ulf"
Die drei ??? - Band 154 - Botschaft aus der Unterwelt,"Erlhoff, Kari"
Die drei ??? - Band 155 - und der Meister des Todes,"Erlhoff, Kari"
Endlich berühmt ! Wie Greg zum Filmstar wurde,"Kinney, Jeff"
Die Kaminski-Kids - Band 012 - Das Geheimnis von,"Meier, Carlo"
Stromschnelle - Sport - Krimi,"Schlüter, Andreas"
Drachenschwester - Thubans Vermächtnis,"Troisi, Licia"
Die Rätsel der Alhambra,"Spang, Markus"
Jim Knopf und die wilde 13,"Ende, Michael"
Herr Rot in Not,"Naoura, Salah"
Leichenblässe,"Beckett, Simon"
Fünf Freunde - Band 055 - und das,"Blyton, Enid"
Die drei !!! - Band 029 - Panik im Freizeitpark,"Sol, Mira"
Koalaträume,"Brandis, Katja"
Die drei ??? - Nacht der Tiger - Band 159,"Sonnleitner, Marco"
Alles Lüge,"Feid, Anatol"
Vier zauberhafte Schwestern,"Winn, Sheridan"
Fünf Freunde - Band 061 - suchen den Piratenschatz,"Blyton, Enid"
Die drei ??? - Band 158 - und der Feuergeist,"Sonnleitner, Marco"
Die drei ??? Kids - Band 002 + 004 - In Seenot,"Blanck, Ulf"
Die drei ??? Kids - Band 010 - Die verhexte Achterbahn,"Blanck, Ulf"
Die drei ??? Kids - Band 046 - Jagd auf das Dino-Ei,"Blanck, Ulf"
Die drei ??? Kids - Band 009 - Der Geisterfluss,"Blanck, Ulf"
3 Drachengeschichten,"Schröder, Patricia"
Sophie im Land der Zauberponys,"Schröder, Patricia"
Maskottchen,"Kurzem, Mark"
Verwesung,"Beckett, Simon"
Tödlicher Mittsommer - Band 1,"Sten, Viveca"
Die Schatzinsel,Stevensen Louis Robert
Nele - Band 003 - und die Geburtstagsparty,"Luhn, Usch"
Das magische Baumhaus - Band 033 - Geheimauftrag,"Osborne, Mary Pope"
Das magische Baumhaus - Band 036 - Der geheime Flug,"Osborne, Mary Pope"
Das magische Baumhaus - Band 030 - Im Bann des,"Osborne, Mary Pope"
Nils Holgersson,"Lagerlöf, Selma"
Die drei ??? Kids - Band 048 - Tanz der Skelette,"Pfeiffer, Boris"
Die drei ??? Kids - Band 049 - Der singende Geist,"Blanck, Ulf"
Das magische Baumhaus - Band 018 - Rettung in der,"Osborne, Mary Pope"
Glee wie alles begann,Lowell
glee Bühne frei!,Lowell
Die Tribute von Panem - Band 03 - flammender Zorn,"Collins, Suzanne"
"Die fabelhaften Vier, Alles wegen Anton","Dierks, Martina"
Das Buch der seltsamen Wünsche,"Westhoff, Angie"
Die drei !!! - Band 031- Betrug in den Charts,"Steckelmann, Petra"
Die drei ??? - und der schreiende Nebel - Band 162,"Buchna, Hendrik"
Die drei ??? - Band 196 - Geheimnisvolle Botschaften,"Dittert, Christoph"
Lola Schwesterherz,"Abedi, Isabel"
No Jungs ! Wer wird Schönheitskönigin',"Brezina, Thomas"
"Magic Girls, die Macht der Acht","Arold, Marliese"
Wolfenblut,"Toft, Di"
Die drei ??? - Band 161 - Die blutenden Bilder,"Erlhoff, Kari"
MOMO,"Ende, Michael"
ERAGON - Band 004 - Das Erbe der Macht,"Paolini, Christopher"
Anton und das geheimnis im Finsterwald,"Schröder, Patricia"
Hexe Lilli - Band 013 - und der verrückte Ritter,Knister
Die drei ??? Kids - Band 050 - Schatz der Piraten,"Pfeiffer, Boris"
Ronja Räubertochter,"Lindgren, Astrid"
Der kleine Ritter Trenk,"Boie, Kirsten"
Die Flaschengeistprüfung,von Vogel Maja
Schändung - Band 2,"Adler-Olsen, Jussi"
Erbarmen - Band 1,"Adler-Olsen, Jussi"
Erlösung - Band 3,"Adler-Olsen, Jussi"
Aschenputtel,"Ohlsson, Kristina"
Wie man 13 wird und überlebt,"Johnson, Pete"
"Seekers, Die Suche beginnt","Hunter, Erin"
Die Tribute von Panem - Band 02 - gefährliche Liebe,"Collins, Suzanne"
Wir Kinder vom Bahnhof Zoo,"Christiane, F"
Bitte zweimal Wolke 7,"Wilke, Jutta"
Mein Lotta Leben - Band 01 - Alles voller Kaninchen,"Pantermüller, Alice"
Dork Diaries - Band 03 - Nikkis phänomenaler Auftritt,"Russell, Rachel"
Die wilden Hühner - Band 004 - und das Glück der Erde,"Funke, Cornelia"
Das mit mir und Romeo,"Chidolue, Dagmar"
"Magic Girls, der dunkle Verräter","Arold, Marliese"
Die wilden Küken - Band 005 - Auf Schatzsuche,"Schmid, Thomas"
Die drei ??? - und der verschollene Pilot - Band 163,"Nevis, Ben"
Die drei !!! - Falsches Spiel im Internat - Band 030,von Vogel Maja
Die drei !!! - Band 034 - Brandgefährlich,von Vogel Maja
"Ein Fall für die schwarze Pfote, Giftalarm","Weber, Benedikt"
Das magische Baumhaus - Band 028 - Das verzauberte,"Osborne, Mary Pope"
Störenfrieda - Lauter Krachgeschichten,"Frey, Jana"
Die schönsten Märchen von H.C.Andersen,Andersen Hans Christian
Die spannendsten griechischen Sagen,"Inkiow, Dimiter"
3 Rittergeschichten,"Schröder, Patricia"
Die Drei ??? Kids - Band 052 - Mächtige Magier,"Pfeiffer, Boris"
Piratten - Band 02 - Gefangen auf Rattuga,"Michael, Peinkofer"
Der kleine Ritter Trenk und der grosse Gefährliche,"Boie, Kirsten"
Das magische Baumhaus - Band 051 - Lawinenhunde,"Osborne, Mary Pope"
"Laurin, das Schlossgespenst","Obrecht, Bettina"
"No Jungs! Handy, Handy in der Hand...","Brezina, Thomas"
"Sherlock Holmes Academy, Geheimcode Katzenpfote,","Watson, Holly"
Sherlock Holmes Academy,"Watson, Holly"
Night School - Band 001 - Du darfst keinem trauen,"Daugherty, C.J"
Wie viele Level hat dein Leben?,"Färber, Werner"
Verletzt,"Negri, Stella"
Die wilden Küken - Band 006 - Ab ins Abenteuer,"Schmid, Thomas"
Die drei !!! - Band 038 - Stylist in Gefahr,"Sol, Mira"
Die drei ??? - Band 167- und das blaue Biest,"Buchna, Hendrik"
"Rick 1, Wie man seine durchgeknallte Familie überlebt","Szillat, Antje"
Papa auf der Spur,"Stehle, Katrin"
Piratten - Band 01 - Unter schwarzer Flagge,"Peinkofer, Michael"
"Die Klapperschlangen, Eine Bandenchefin sieht grün","Westhoff, Angie"
"codewort 007 , Alarm im Advent","Michaelis, Antonia"
Die Kaminski-Kids - Band 014 - Gefährliches Spiel,"Meier, Carlo"
Die drei !!! - Band 016 - Total verknallt,"Vogel, Maya"
Die Kaminski-Kids - Band 007 - Auf heisser Spur,"Meier, Carlo"
Die Kaminski-Kids - Band 006 - In der Falle,"Meier, Carlo"
Die drei !!! - Band 037 - Mission Pferdeshow,"Wich, Henriette"
Tausendschön,"Ohlsson, Kristina"
Verachtung - Band 4,"Adler-Olsen, Jussi"
"Die Wanderhure, Bd 1","Lorentz, Iny"
Die Kastellanin,"Lorentz, Iny"
"Das Vermächtnis der Wanderhure, Bd 3","Lorentz, Iny"
Die Tochter der Wanderhure,"Lorentz, Iny"
Der Hobbit oder Hin und Zurück,"Tolkien, J.R.R"
"Smaragdgrün, Liebe geht durch den Magen, Band 3","Gier, Kerstin"
"Saphirblau, Liebe geht durch alle Zeiten, Band 2","Gier, Kerstin"
"Rubinrot, Liebe geht durch alle Zeiten, Band 1","Gier, Kerstin"
Töchter der Sünde,"Lorentz, Iny"
Dolphin Rider,"Bennemann, Markus"
Das Alphabet Haus,"Adler-Olsen, Jussi"
Eine zweite Chance,"Alvtegen, Karin"
Tafiti - Band 001 - und die Reise ans Ende der Welt,"Boehme, Julia"
Leo & Lolli - Band 002 - Ein Esel zum Verlieben,"Boehme, Julia"
Nele - Band 005 - geht auf Klassenfahrt,"Luhn, Usch"
Kleiner Hund in grosser Gefahr,"Birck, Bengt"
"Mein Freund, der Orca","Moser, Annette"
Nele - Band 006 - und der indische Prinz,"Luhn, Usch"
Das magische Baumhaus - Band 045 - Die Feder der,"Osborne, Mary Pope"
Störenfrieda und der Rückwärtsflohmarkt,"Frey, Jana"
Störenfrieda auf Hängebauchschweinsafari,"Frey, Jana"
Störenfrieda und der Glitzerclub,"Frey, Jana"
Das magische Baumhaus - Band 012 - Auf den Spuren,"Osborne, Mary Pope"
Zombie-Alarm,"Nevis, Ben"
Der schwarze Joker,"Pfeiffer, Boris"
Der kleine Drache Kokosnuss - Band 019 - reist in die,"Siegner, Ingo"
Michel und Klein-Ida aus Lönneberga,"Lindgren, Astrid"
Das magische Baumhaus - Sammelband - Im Reich der,"Osborne, Mary Pope"
Night School - Band 002 - der den Zweifel sät,"Daugherty, C.J"
"Magic Girls, Der goldene Schlüssel","Arold, Marliese"
Tschick,"Herrndorf, Wolfgang"
Die drei ??? - Band 171- Und das Phantom aus dem,"Sonnleitner, Marco"
Die drei ??? - Strasse des Grauens - Band 170,"Erlhoff, Kari"
Die drei ??? - Band 169 - Die Spur des Spielers,"Marx, André"
"Undercover City, Der Unsichtbare im Wald","Neumayer, Gabi"
Tiger-Team - Band 038 - Die Stunde des Hexenmeisters,"Brezina, Thomas"
Tiger-Team - Band 048 - Der Ruf der Goldeule,"Brezina, Thomas"
Bretonische Verhältnisse,"Bannalec, Jean-Luc"
Tafiti - Band 002 - und das fliegende Pinselohrschwein,"Boehme, Julia"
Ein Fall für Kwiatkowski - Band 022 - Grosse Jagd auf,"Banscherus, Jürgen"
das Buch aus Atlantis,"Brezina, Thomas"
Verschwörung am Höllenstein,"Brezina, Thomas"
Tiger-Team - das verbotene LABOR,"Brezina, Thomas"
Das magische Baumhaus - Band 046 - Pandas in grosser,"Osborne, Mary Pope"
FEUERWEHRGESCHICHTEN,Fischer-Hunold Alexandra
Ein Fall für Kwiatkowski - Band 008 - Duell der Detektive,"Banscherus, Jürgen"
Liliane Susewind - Band 007 - Rückt dem Wolf nicht auf,"Stewner, Tanya"
Sternenschweif - Band 015 - Das Geheimnis der,"Chapman, Linda"
Sternenschweif - Band 027 - Die Zauberquelle,"Chapman, Linda"
Sternenschweif - Band 012 - Mondscheinzauber,"Chapman, Linda"
Sternenschweif - Band 005 - Sternenschweifs Geheimnis,"Chapman, Linda"
Die drei ??? Kids - Das Rätsel der Könige,"Blanck, Ulf"
Die drei ??? Kids - Der Weihnachtsdieb,"Pfeiffer, Boris"
Der kleine Drache Kokosnuss - Band 013 - und das,"Siegner, Ingo"
Delfine,"Obrecht, Bettina"
Laden der Träume - Band 001 - Das Gold der Piraten,"Ahner, Dirk"
Tod im Schärengarten - Band 2,"Sten, Viveca"
Eisiger Dienstag,"French, Nicci"
Die Toten von Sandhamn - Band 3,"Sten, Viveca"
Erwartung - Band 5,"Adler-Olsen, Jussi"
Bretonische Brandung,"Bannalec, Jean-Luc"
Vollendet,"Schusterman, Neal"
Felicity Gallant und das steinerne Herz,"Welsh, Melanie"
Anne Frank das Tagebuch,"Frank, Anne"
Escape - Band 001 - Fall bloss nicht auf,"Bowler, Tim"
"Escape - Band 002 - Flieh, so schnell du kannst","Bowler, Tim"
"Escape - Band 003 - Lauf, so weit du kannst","Bowler, Tim"
Escape - Band 004 - Zeig keine Angst,"Bowler, Tim"
Frostglut,"Estep, Jennifer"
Night School - Band 003 - denn Wahrheit musst du,"Daugherty, C.J"
Die drei !!! - Band 040 - Achtung Spionage,"Wich, Henriette"
"Ich, Lilly und der Rest der Welt","Maxeiner, Alexandra"
Die drei !!! - Band 042 - Geheimnis der alten Villa,"Vogel, Maya"
Piratten; Die Schatzinsel,"Peinkofer, Michael"
"Die Sherlock Holmes Academy, Mission Meisterdetektiv","Watson, Holly"
Die drei !!! - Skandal im Café Lomo! - Band 044,"Wich, Henriette"
Karlotta verzettelt sich,"Singer, Claire"
"Seekers, Feuer im Himmel","Hunter, Erin"
Die Kaminski-Kids - Band 015 - Im Kölner Verlies,"Meier, Carlo"
Der Kuss der Göttin,"Pike, Aprilynne"
Lola in geheimer Mission,"Abedi, Isabel"
Traumsammler,"Hosseini, Khaled"
Die Olchis - werden Fussballmeister,"Dietl, Erhard"
Monster Mia - Band 002 - und das schaurig-schöne,"Saddlewick, A.B"
Das magische Baumhaus - Band 048 - Das Geheimnis,"Osborne, Mary Pope"
Sternenritter - Band 001 - Die Festung im All,"Peinkofer, Michael"
Monster Mia - Band 001 - und das grosse Fürchten,"Saddlewick, A.B"
60 Sekunden - Der schrecken der Tiefsee - Band 01,"Reifenberg, Frank"
Beast Quest - Band 001 - Ferno Herr des Feuers,"Blade, Adam"
Als der Weihnachtsmann vom Himmel fiel,"Funke, Cornelia"
Die wilden Küken - Band 07 - Bühne frei!,"Schmid, Thomas"
Die drei !!! - Band 049 - Skandal auf dem Laufsteg,"Sol, Mira"
Die drei !!! - Band 051 - Krimi Dinner,"Wich, Henriette"
Die Kaminski-Kids - Band 016 - Fahrerflucht,"Meier, Carlo"
Die wilden Küken - Band 004 - Es spukt!,"Schmid, Thomas"
Die wilden Hühner - Band 006 - und das Leben,"Schmid, Thomas"
Der Hof,"Beckett, Simon"
Beim ersten Schärenlicht - Band 5,"Sten, Viveca"
Noah,"Fitzek, Sebastian"
Endlich beliebt ! - Band 005,"Ignatow, Amy"
Endlich beliebt! - Band 004,"Ignatow, Amy"
Endlich beliebt! - Band 001,"Ignatow, Amy"
Dork Diaries - Nikki als graziöse Eisprinzessin,"Russell, Rachel"
Dork Diaries - Band 01- Nikkis fabelhafte Welt,"Russell, Rachel"
Dork diaries - Nikkis glamouröses Partyleben,"Russell, Rachel"
Dork diaries - Nikkis guter Rat in allen Lebenslagen,"Russell, Rachel"
Dork diaries - Band 03 - Mach dich zum Dork,"Russell, Rachel"
Mein Lotta-Leben - Band 05 - Ich glaub meine Kröte,"Pantermüller, Alice"
Mein Lotta-Leben - Band 02 - Wie belämmert ist das,"Pantermüller, Alice"
Mein Lotta-Leben - Band 03 - Hier steckt der Wurm drin!,"Pantermüller, Alice"
Der Clan der Wölfe - Band 001 - Donnerherz,"Lasky, Kathryn"
Der Clan der Wölfe - Band 002 - Schattenkrieger,"Lasky, Kathryn"
"Tom Gates - Band 001 - Wo ich bin ist Chaos, aber ich","Pichon, Liz"
Tom Gates - Band 004 - Ich bin so was von genial,"Pichon, Liz"
Warrior Cats - 4/Band 1 - Der vierte Schüler,"Hunter, Erin"
Chaos und flambierte Herzen,"Ullrich, Hortense"
Gregs Tagebuch - Band 008 - Echt übel,"Kinney, Jeff"
