title,author,isbn,isbn_type,matched_title,matched_author,genre,short_description,cover_url,google_id,status,from_cache
Ronja Räubertochter,Sonja Müller-Schamell,9783486808179,ISBN_13,"Astrid Lindgren, Ronja Räubertochter",Sonja Müller-Schamell,,,https://books.google.com/books/content?id=I0xvSQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,I0xvSQAACAAJ,found,false
Die schwarzen Brüder,Annette Sutter,9783037941423,ISBN_13,Die Schwarzen Brüder,Annette Sutter,,,,WeWYQwAACAAJ,found,false
Die rote Zora,Britta Wiese,9783346641564,ISBN_13,"Weiblichkeitsdarstellung im Buch ""Die rote Zora und ihre Bande"" von Kurt Held",Britta Wiese,Literary Criticism,"Studienarbeit aus dem Jahr 2020 im Fachbereich Germanistik - Neuere Deutsche Literatur, Note: 2,5, Universität Bielefeld, Sprache: Deutsch, Abstract: Wie wird Weiblichkeit in „Die rote Zora und ihre Bande“ aus dem Jahr 1941 dargestellt? Für diese Analyse wird im Voraus auf das Konstrukt Geschlecht eingegangen und dara...",https://books.google.com/books/content?id=wrxuEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wrxuEAAAQBAJ,found,false
"Frohe Weihnachten, liebes Christkind!",Sigrid Heuck,9783401075754,ISBN_13,"Frohe Weihnachten, liebes Christkind!",Sigrid Heuck,,"Der kleine Engel, der viel lieber Fussball spielen würde, wird von Petrus auf die Erde geschickt. Er soll die Einladungen zum Geburtstagsfest des Christkindes verteilen. Er hat genau 24 Tage Zeit.",https://books.google.com/books/content?id=gAoBPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,gAoBPQAACAAJ,found,false
Mein Name ist Eugen,Klaus Schädelin,9783290114701,ISBN_13,Mein Name ist Eugen,Klaus Schädelin,Religion,"Vier Jungs und viele Missgeschicke: In ""Mein Name ist Eugen"" geht es um vier Jungs: Eugen, Wrigley, Eduard und Bäschteli. Diese vier Jugns hauen aus einem Ferienlager ab und gehen auf Reisen quer durch die Schweiz. Während dieser Reise erleben sie viele Abenteuer. Sie retten einem Jodler-Club fast das Leben, sehen den...",https://books.google.com/books/content?id=yqdz8nNK1YEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,yqdz8nNK1YEC,found,false
Bad Sonder,Catherine De Clercq,9783858823557,ISBN_13,Bad Sonder,Catherine De Clercq,,"Das geheimnisvolle Mädchengesicht zwischen den Seerosen Hoch über Teufen thront das Bad Sonder und blickt über die Ausserrhoder Gemeinde hinweg zum Alpstein. Einst ein bekanntes Hotel und Kurhaus, wird das stattliche Haus heute als Sonderschulwohnheim genutzt. Die dicken Steinmauern wüssten vieles aus der wechselvolle...",https://books.google.com/books/content?id=_b6aAwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,_b6aAwAACAAJ,found,false
Die Sticker,Elisabeth Gerter,9783293003262,ISBN_13,Die Sticker,Elisabeth Gerter,,,,4OVmygAACAAJ,found,false
Der Medicus,Noah Gordon,9783641119201,ISBN_13,Der Medicus,Noah Gordon,Fiction,"Der Waisenjunge Rob findet bei einem Bader Schutz und wird sein gelehriger Schüler. Nach dem Tod seines Meisters bricht er nach Persien auf, denn dort, im fernen Isfahan, lehrt Avicenna, der berühmteste aller Ärzte. Rob trotzt mutig den Gefahren seiner weiten Reise, Hunger, Pest und den Überfällen religiöser Fanatiker...",https://books.google.com/books/content?id=Tv-lqQ-_lpcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Tv-lqQ-_lpcC,found,false
Hier kommt Lola!,Silke Fokken,9783464800874,ISBN_13,Hier kommt Lola!,Silke Fokken,,,https://books.google.com/books/content?id=19zzOAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,19zzOAAACAAJ,found,false
"Engel, Hase, Bommelmütze",Brigitte Weninger,9783314104183,ISBN_13,"Engel, Hase, Bommelmütze",Brigitte Weninger,,,https://books.google.com/books/content?id=2fpKtAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2fpKtAEACAAJ,found,false
Die Abenteuer des starken Wanja,Otfried Preußler,9783522181853,ISBN_13,Die Abenteuer des starken Wanja,Otfried Preußler,,,https://books.google.com/books/content?id=cS6FcgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,cS6FcgAACAAJ,found,false
