title,author,isbn,matched_title,matched_author,confidence,source
Der Medicus von Saragossa,Noah Gordon,9783837130270,Der Medicus von Saragossa Noah Gordon,"Gordon, Noah",0.8548,dnb
Die unendliche Geschichte,Michael Ende,9783522202602,Die unendliche Geschichte Michael Ende,"Ende, Michael",0.8452,dnb
Das doppelte Lottchen,Erich Kästner,9789941119231,"Das doppelte Lottchen, georgisch","Kästner, Erich",0.8558,dnb
In 80 Tagen um die Welt,Jules Verne,9783730616253,In 80 Tagen um die Welt Jules Verne,"Verne, Jules",0.8448,dnb
Lola macht Schlagzeilen,Isabel Abedi,9787558302466,"Lola macht Schlagzeilen, chines.","Abedi, Isabel",0.9009,dnb
KAROLINA WÜNSCHT SICH EINEN KOBOLD,Dagmar Geisler,9783473341856,Karolina wünscht sich einen Kobold Dagmar Geisler,"Geisler, Dagmar",0.8645,dnb
Applaus für Lola,Isabel Abedi,9787558302480,"Applaus für Lola!, chines.","Abedi, Isabel",0.8654,dnb
Das grosse Buch vom Räuber Grapsch,Gudrun Pausewang,9783473346707,Das grosse Buch vom Räuber Grapsch Gudrun Pausewang,"Pausewang, Gudrun",0.8500,dnb
Die Kaminski-Kids - Band 002 - Mega Zoff!,Carlo Meier,9783765538223,Die Kaminski-Kids Bd. 2. Mega Zoff! Carlo Meier,"Meier, Carlo",0.8500,dnb
Das fliegende Klassenzimmer,Erich Kästner,9783855351480,Das fliegende Klassenzimmer Erich Kästner,"Kästner, Erich",0.8456,dnb
Die Kaminski-Kids - Band 007 - Entscheidung im Park,Carlo Meier,9783765538285,Die Kaminski-Kids Bd. 8. Entscheidung im Park Carlo Meier,"Meier, Carlo",0.8676,dnb
Drachenschwester - Thubans Vermächtnis,Licia Troisi,9783641049324,Drachenschwester - Thubans Vermächtnis Licia Troisi,"Troisi, Licia",0.8853,dnb
Jim Knopf und die wilde 13,Michael Ende,9783522185561,Jim Knopf und die Wilde 13 Michael Ende,"Ende, Michael",0.8500,dnb
Vier zauberhafte Schwestern,Sheridan Winn,9783733607418,Vier zauberhafte Schwestern Sheridan Winn,"Winn, Sheridan",0.8456,dnb
"Die fabelhaften Vier, Alles wegen Anton",Martina Dierks,9783862742011,Die fabelhaften Vier. Alles wegen Anton Martina Dierks,"Dierks, Martina",0.8764,dnb
Das Buch der seltsamen Wünsche,Angie Westhoff,9783751206136,Das Buch der seltsamen Wünsche Angie Westhoff,"Westhoff, Angie",0.8500,dnb
"Magic Girls, die Macht der Acht",Marliese Arold,9783760766805,Magic girls 8. Die Macht der Acht Marliese Arold,"Arold, Marliese",0.8344,dnb
Wie man 13 wird und überlebt,Pete Johnson,9783844924633,Wie man 13 wird und überlebt Pete Johnson,"Johnson, Pete",0.8587,dnb
Bitte zweimal Wolke 7,Jutta Wilke,9783570402177,Bitte zweimal Wolke 7 Jutta Wilke,"Wilke, Jutta",0.8333,dnb
Die wilden Hühner - Band 004 - und das Glück der Erde,Cornelia Funke,9783751300933,Die Wilden Hühner und das Glück der Erde Cornelia Funke,"Funke, Cornelia",0.8269,dnb
"Magic Girls, der dunkle Verräter",Marliese Arold,9783760783550,Magic girls 9. Der dunkle Verräter Marliese Arold,"Arold, Marliese",0.8386,dnb
"Ein Fall für die schwarze Pfote, Giftalarm",Benedikt Weber,9783864291326,Ein Fall für die Schwarze Pfote: Giftalarm! Benedikt Weber,"Weber, Benedikt",0.8840,dnb
Die spannendsten griechischen Sagen,Dimiter Inkiow,9783731394730,Die spannendsten griechischen Sagen Dimiter Inkiow,"Inkiow, Dimiter",0.8676,dnb
