cache_key,title,author,found,status,isbn,isbn_type,matched_title,matched_author,google_id
ronja raubertochter|astrid lindgren,Ronja Räubertochter,Astrid Lindgren,true,found,9783486808179,ISBN_13,"Astrid Lindgren, Ronja Räubertochter",Sonja Müller-Schamell,,,https://books.google.com/books/content?id=I0xvSQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,I0xvSQAACAAJ
die schwarzen bruder|lisa tetzner,Die schwarzen Brüder,Lisa Tetzner,true,found,9783037941423,ISBN_13,Die Schwarzen Brüder,Annette Sutter,,,,WeWYQwAACAAJ
die rote zora|kurt held,Die rote Zora,Kurt Held,true,found,9783346641564,ISBN_13,"Weiblichkeitsdarstellung im Buch ""Die rote Zora und ihre Bande"" von Kurt Held",Britta Wiese,Literary Criticism,"Studienarbeit aus dem Jahr 2020 im Fachbereich Germanistik - Neuere Deutsche Literatur, Note: 2,5, Universität Bielefeld, Sprache: Deutsch, Abstract: Wie wird Weiblichkeit in „Die rote Zora und ihre Bande“ aus dem Jahr 1941 dargestellt? Für diese Analyse wird im Voraus auf das Konstrukt Geschlecht eingegangen und dara...",https://books.google.com/books/content?id=wrxuEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wrxuEAAAQBAJ
meine ersten weihnachtsgeschichten|kunzler behncke rosmarie,Meine ersten Weihnachtsgeschichten,Künzler-Behncke Rosmarie,false,not_found,,,,,,,,
frohe weihnachten liebes christkind|sigrid heuck,"Frohe Weihnachten, liebes Christkind!",Sigrid Heuck,true,found,9783401075754,ISBN_13,"Frohe Weihnachten, liebes Christkind!",Sigrid Heuck,,"Der kleine Engel, der viel lieber Fussball spielen würde, wird von Petrus auf die Erde geschickt. Er soll die Einladungen zum Geburtstagsfest des Christkindes verteilen. Er hat genau 24 Tage Zeit.",https://books.google.com/books/content?id=gAoBPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,gAoBPQAACAAJ
onkel toms hutte|harriet beecher stowe,Onkel Toms Hütte,Harriet Beecher Stowe,false,isbn_missing,,,,,,,,
mein name ist eugen|klaus schadelin,Mein Name ist Eugen,Klaus Schädelin,true,found,9783290114701,ISBN_13,Mein Name ist Eugen,Klaus Schädelin,Religion,"Vier Jungs und viele Missgeschicke: In ""Mein Name ist Eugen"" geht es um vier Jungs: Eugen, Wrigley, Eduard und Bäschteli. Diese vier Jugns hauen aus einem Ferienlager ab und gehen auf Reisen quer durch die Schweiz. Während dieser Reise erleben sie viele Abenteuer. Sie retten einem Jodler-Club fast das Leben, sehen den...",https://books.google.com/books/content?id=yqdz8nNK1YEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,yqdz8nNK1YEC
bad sonder|catherine de clercq,Bad Sonder,Catherine de Clercq,true,found,9783858823557,ISBN_13,Bad Sonder,Catherine De Clercq,,"Das geheimnisvolle Mädchengesicht zwischen den Seerosen Hoch über Teufen thront das Bad Sonder und blickt über die Ausserrhoder Gemeinde hinweg zum Alpstein. Einst ein bekanntes Hotel und Kurhaus, wird das stattliche Haus heute als Sonderschulwohnheim genutzt. Die dicken Steinmauern wüssten vieles aus der wechselvolle...",https://books.google.com/books/content?id=_b6aAwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,_b6aAwAACAAJ
wir warten aufs christkind|christina franke,Wir warten aufs Christkind,Christina Franke,false,not_found,,,,,,,,
die schonsten fruhlings und ostergeschichten|corinna gieseler,Die schönsten Frühlings und Ostergeschichten,Corinna Gieseler,false,not_found,,,,,,,,
die sticker|elisabeth gerter,Die Sticker,Elisabeth Gerter,true,found,9783293003262,ISBN_13,Die Sticker,Elisabeth Gerter,,,,4OVmygAACAAJ
