title,author
Ronja Räubertochter,Astrid Lindgren
Die schwarzen Brüder,Lisa Tetzner
Die rote Zora,Kurt Held
Meine ersten Weihnachtsgeschichten,Künzler-Behncke Rosmarie
"Frohe Weihnachten, liebes Christkind!",Sigrid Heuck
Onkel Toms Hütte,Harriet Beecher Stowe
Mein Name ist Eugen,Klaus Schädelin
Bad Sonder,Catherine de Clercq
Wir warten aufs Christkind,Christina Franke
Die schönsten Frühlings und Ostergeschichten,Corinna Gieseler
Die Sticker,Elisabeth Gerter
Der Medicus,Noah Gordon
Hier kommt Lola!,Isabel Abedi
"Engel, Hase, Bommelmütze",Brigitte Weninger
Die Abenteuer des starken Wanja,Otfried Preussler
Der kleine Elch und das Weihnachtswunder,Thilo
Laura sucht den Weihnachtsmann,
Adventsgeschichten,
Igraine Ohnefurcht,Cornelia Funke
Die Dreierbande und der verdächtige Fotograf,Hermien Stellmacher
Fette Fische,Carl Hiaasen
Emma traut sich was,Maja von Vogel
ERAGON - Das Vermächtnis der Drachenreiter - Band,Christopher Paolini
Für alle Fälle Emma,Maja von Vogel
Nikolausgeschichten,Elisabeth Zöller
Monster Mia - und das entführte Drachenbaby - Band,A.B Saddlewick
Der kleine Drache Kokosnuss - im Spukschloss - Band 010,Ingo Siegner
Der kleine Drache Kokosnuss - und die starken Wikinger -,Ingo Siegner
Fussballfieber - Spannende Kickergeschichten,Fabian Lenk
Klassenreise an die See,Heike Wiechmann
Liliane Susewind - Ein Nilpferd auf dem Zebrastreifen -,Tanya Stewner
Liliane Susewind - Viel Gerenne um eine Henne - Band,Tanya Stewner
Die drei ??? Kids - Band 66 - Geheimnis im Meer,Ulf Blanck
ERAGON - Der Aufrag des Ältesten - Band 002,Christopher Paolini
Himmelschlüssel - Band 4,Kristina Ohlsson
Die drei ??? Kids - Band 32 - Die Gruselfalle,Boris Pfeiffer
Der kleine Drache und der Monsterhund,Meyer-Dietrich Inge
Verrückt nach Emma,Maja von Vogel
Robinson Crusoe,Daniel Defoe
Fünf Freunde - und der Hexenring - Band 053,Enid Blyton
Fünf Freunde - auf hoher See - Band 054,Enid Blyton
"Viel Lärm um Lila, die fabelhaften Vier",Martina Dierks
Vergebung Band 3,Stieg Larsson
Die Tore der Welt,Ken Follett
"Verdammnis, Band 2",Stieg Larsson
"Verblendung, Band 1",Stieg Larsson
Das magische Baumhaus - Band 014 - Im Land der,Mary Pope Osborne
Blätterteig und Völkerball,Tony Ettlin
Seelen,Stephenie Meyer
Der Katalane,Noah Gordon
Das magische Baumhaus - Band 009 - Der Ruf der,Mary Pope Osborne
Das magische Baumhaus - Band 032 - Der gestohlene,Mary Pope Osborne
Der kleine König feiert Weihnachten,Hedwig Munck
Die drei ??? Kids - Band 016 - Der magische Brunnen,Ulf Blanck
Das magische Baumhaus - Band 035 - Angriff des,Mary Pope Osborne
Das magische Baumhaus - Band 002 - Der,Mary Pope Osborne
Gepardensommer,Katja Brandis
Emma will`s wissen,Maja von Vogel
Neues vom Räuber Hotzenplotz,Otfried Preussler
Fünf Freunde - Band 052 - im Gruselschloss,Enid Blyton
Die Chemie des Todes,Simon Beckett
Fünf Freunde - Band 059 - jagen den rätselhaften,Enid Blyton
Magic Girls - Gefangen in der Unterwelt,Marliese Arold
Spielmacher - Sport-Krimi,Andreas Schlüter
Abgetaucht - Sport-Krimi,Andreas Schlüter
Ein Fall für Kommissar Maroni,Jürg Obrist
Die drei ??? - Band 149 - Der namenlose Gegner,Kari Erlhoff
Madita,Astrid Lindgren
Die Tribute von Panem - Band 01 - Tödliche Spiele,Suzanne Collins
Der Elefantentempel,Katja Brandis
Die drei ??? - Band 153 - Und das Fussballphantom,Marco Sonnleitner
Magic Girls - Die grosse Prüfung,Marliese Arold
Als Opa alles auf den Kopf stellte,Marianne Musgrove
ERAGON - Band 003 - Die Weisheit des Feuers,Christopher Paolini
Ferien im Schrank,Annette Roeder
Emilys Rückkehr,Katja Kessler
Aufregung um Knuffel,Berit Bach
Die drei ??? Kids - Band 008 - Angriff der Roboter,Boris Pfeiffer
Die drei ??? Kids - Band 043 - Duell der Ritter,Ulf Blanck
Die drei ??? - Band 154 - Botschaft aus der Unterwelt,Kari Erlhoff
Die drei ??? - Band 155 - und der Meister des Todes,Kari Erlhoff
Endlich berühmt ! Wie Greg zum Filmstar wurde,Jeff Kinney
Die Kaminski-Kids - Band 012 - Das Geheimnis von,Carlo Meier
Stromschnelle - Sport - Krimi,Andreas Schlüter
Die Rätsel der Alhambra,Markus Spang
Herr Rot in Not,Salah Naoura
Leichenblässe,Simon Beckett
Fünf Freunde - Band 055 - und das,Enid Blyton
Die drei !!! - Band 029 - Panik im Freizeitpark,Mira Sol
Koalaträume,Katja Brandis
Die drei ??? - Nacht der Tiger - Band 159,Marco Sonnleitner
Alles Lüge,Anatol Feid
Fünf Freunde - Band 061 - suchen den Piratenschatz,Enid Blyton
Die drei ??? - Band 158 - und der Feuergeist,Marco Sonnleitner
Die drei ??? Kids - Band 002 + 004 - In Seenot,Ulf Blanck
Die drei ??? Kids - Band 010 - Die verhexte Achterbahn,Ulf Blanck
Die drei ??? Kids - Band 046 - Jagd auf das Dino-Ei,Ulf Blanck
Die drei ??? Kids - Band 009 - Der Geisterfluss,Ulf Blanck
3 Drachengeschichten,Patricia Schröder
Sophie im Land der Zauberponys,Patricia Schröder
Maskottchen,Mark Kurzem
Verwesung,Simon Beckett
Tödlicher Mittsommer - Band 1,Viveca Sten
Die Schatzinsel,Stevensen Louis Robert
Nele - Band 003 - und die Geburtstagsparty,Usch Luhn
Das magische Baumhaus - Band 033 - Geheimauftrag,Mary Pope Osborne
Das magische Baumhaus - Band 036 - Der geheime Flug,Mary Pope Osborne
Das magische Baumhaus - Band 030 - Im Bann des,Mary Pope Osborne
Nils Holgersson,Selma Lagerlöf
Die drei ??? Kids - Band 048 - Tanz der Skelette,Boris Pfeiffer
Die drei ??? Kids - Band 049 - Der singende Geist,Ulf Blanck
Das magische Baumhaus - Band 018 - Rettung in der,Mary Pope Osborne
Glee wie alles begann,Lowell
glee Bühne frei!,Lowell
Die Tribute von Panem - Band 03 - flammender Zorn,Suzanne Collins
Die drei !!! - Band 031- Betrug in den Charts,Petra Steckelmann
Die drei ??? - und der schreiende Nebel - Band 162,Hendrik Buchna
Die drei ??? - Band 196 - Geheimnisvolle Botschaften,Christoph Dittert
Lola Schwesterherz,Isabel Abedi
No Jungs ! Wer wird Schönheitskönigin',Thomas Brezina
Wolfenblut,Di Toft
Die drei ??? - Band 161 - Die blutenden Bilder,Kari Erlhoff
MOMO,Michael Ende
ERAGON - Band 004 - Das Erbe der Macht,Christopher Paolini
Anton und das geheimnis im Finsterwald,Patricia Schröder
Hexe Lilli - Band 013 - und der verrückte Ritter,Knister
Die drei ??? Kids - Band 050 - Schatz der Piraten,Boris Pfeiffer
Ronja Räubertochter,Astrid Lindgren
Der kleine Ritter Trenk,Kirsten Boie
Die Flaschengeistprüfung,von Vogel Maja
Schändung - Band 2,Jussi Adler-Olsen
Erbarmen - Band 1,Jussi Adler-Olsen
Erlösung - Band 3,Jussi Adler-Olsen
