title,author,status,from_cache
Meine ersten Weihnachtsgeschichten,Künzler-Behncke Rosmarie,not_found,false
Onkel Toms Hütte,Harriet Beecher Stowe,isbn_missing,false
Wir warten aufs Christkind,Christina Franke,not_found,false
Die schönsten Frühlings und Ostergeschichten,Corinna Gieseler,not_found,false
ERAGON - Das Vermächtnis der Drachenreiter - Band,Christopher Paolini,not_found,false
Monster Mia - und das entführte Drachenbaby - Band,A.B Saddlewick,not_found,false
Der kleine Drache Kokosnuss - im Spukschloss - Band 010,Ingo Siegner,not_found,false
Liliane Susewind - Viel Gerenne um eine Henne - Band,Tanya Stewner,not_found,false
Die drei ??? Kids - Band 66 - Geheimnis im Meer,Ulf Blanck,not_found,false
ERAGON - Der Aufrag des Ältesten - Band 002,Christopher Paolini,not_found,false
Himmelschlüssel - Band 4,Kristina Ohlsson,not_found,false
Die drei ??? Kids - Band 32 - Die Gruselfalle,Boris Pfeiffer,not_found,false
Fünf Freunde - und der Hexenring - Band 053,Enid Blyton,not_found,false
Fünf Freunde - auf hoher See - Band 054,Enid Blyton,not_found,false
Vergebung Band 3,Stieg Larsson,not_found,false
"Verdammnis, Band 2",Stieg Larsson,not_found,false
"Verblendung, Band 1",Stieg Larsson,not_found,false
Das magische Baumhaus - Band 014 - Im Land der,Mary Pope Osborne,not_found,false
Das magische Baumhaus - Band 009 - Der Ruf der,Mary Pope Osborne,not_found,false
Das magische Baumhaus - Band 032 - Der gestohlene,Mary Pope Osborne,not_found,false
Die drei ??? Kids - Band 016 - Der magische Brunnen,Ulf Blanck,not_found,false
Das magische Baumhaus - Band 035 - Angriff des,Mary Pope Osborne,not_found,false
Das magische Baumhaus - Band 002 - Der,Mary Pope Osborne,not_found,false
Fünf Freunde - Band 052 - im Gruselschloss,Enid Blyton,not_found,false
Fünf Freunde - Band 059 - jagen den rätselhaften,Enid Blyton,not_found,false
Magic Girls - Gefangen in der Unterwelt,Marliese Arold,isbn_missing,false
Die drei ??? - Band 149 - Der namenlose Gegner,Kari Erlhoff,not_found,false
Die Tribute von Panem - Band 01 - Tödliche Spiele,Suzanne Collins,not_found,false
Die drei ??? - Band 153 - Und das Fussballphantom,Marco Sonnleitner,not_found,false
Magic Girls - Die grosse Prüfung,Marliese Arold,not_found,false
ERAGON - Band 003 - Die Weisheit des Feuers,Christopher Paolini,not_found,false
Emilys Rückkehr,Katja Kessler,not_found,false
Die drei ??? Kids - Band 008 - Angriff der Roboter,Boris Pfeiffer,not_found,false
Die drei ??? Kids - Band 043 - Duell der Ritter,Ulf Blanck,not_found,false
Die drei ??? - Band 154 - Botschaft aus der Unterwelt,Kari Erlhoff,not_found,false
Die drei ??? - Band 155 - und der Meister des Todes,Kari Erlhoff,not_found,false
Die Kaminski-Kids - Band 012 - Das Geheimnis von,Carlo Meier,not_found,false
Fünf Freunde - Band 055 - und das,Enid Blyton,not_found,false
Die drei !!! - Band 029 - Panik im Freizeitpark,Mira Sol,not_found,false
Die drei ??? - Nacht der Tiger - Band 159,Marco Sonnleitner,not_found,false
Fünf Freunde - Band 061 - suchen den Piratenschatz,Enid Blyton,not_found,false
Die drei ??? - Band 158 - und der Feuergeist,Marco Sonnleitner,not_found,false
Die drei ??? Kids - Band 002 + 004 - In Seenot,Ulf Blanck,not_found,false
Die drei ??? Kids - Band 010 - Die verhexte Achterbahn,Ulf Blanck,not_found,false
Die drei ??? Kids - Band 046 - Jagd auf das Dino-Ei,Ulf Blanck,not_found,false
Die drei ??? Kids - Band 009 - Der Geisterfluss,Ulf Blanck,not_found,false
