cache_key,title,author,isbn,matched_title,matched_author,confidence,source
die unendliche geschichte|michael ende,Die unendliche Geschichte,"Ende, Michael",9783522202602,Die unendliche Geschichte Michael Ende,"Ende, Michael",0.8452,dnb
lola macht schlagzeilen|isabel abedi,Lola macht Schlagzeilen,"Abedi, Isabel",9783743213616,Lola macht Schlagzeilen Isabel Abedi,"Abedi, Isabel",0.8347,dnb
jim knopf und die wilde 13|michael ende,Jim Knopf und die wilde 13,"Ende, Michael",9783522185561,Jim Knopf und die Wilde 13 Michael Ende,"Ende, Michael",0.8500,dnb
bitte zweimal wolke 7|jutta wilke,Bitte zweimal Wolke 7,"Wilke, Jutta",9783570402177,Bitte zweimal Wolke 7 Jutta Wilke,"Wilke, Jutta",0.8333,dnb
komm lass uns ein ding drehen|armin kaster,"Komm, lass uns ein Ding drehen!","Kaster, Armin",9783834632760,"Komm, lass uns ein Ding drehen! Armin Kaster","Kaster, Armin",0.8627,dnb
die neuen passen hier nicht rein|armin kaster,Die Neuen passen hier nicht rein!,"Kaster, Armin",9783834627643,Die Neuen passen hier nicht rein! Armin Kaster,"Kaster, Armin",0.8734,dnb
das joshua profil|sebastian fitzek,Das Joshua Profil,"Fitzek, Sebastian",9783785753323,Das Joshua-Profil Fitzek,"Jäger, Simon",0.8720,dnb
das grosse rennen um den pokal|thilo,Das grosse Rennen um den Pokal,THiLO,9783619144228,Das große Rennen um den Pokal THiLO,THiLO,0.8962,dnb
zimt weg die vertauschten welten der victoria king|dagmar bach,"Zimt & weg, Die vertauschten Welten der Victoria King","Bach, Dagmar",9783733502430,Zimt & weg die vertauschten Welten der Victoria King Dagmar Bach,"Bach, Dagmar",0.9196,dnb
flora flitzebesen aufruhr der wilden wetterhexen|eleni livanios,"Flora Flitzebesen, Aufruhr der wilden Wetterhexen","Livanios, Eleni",9783956397196,Flora Flitzebesen. Aufruhr der wilden Wetterhexen Eleni Livanios,"Livanios, Eleni",0.8986,dnb
gefuhlschaos beim chatten|thilo,Gefühlschaos beim Chatten,"THiLO,",9783473477364,Gefühlschaos beim Chatten THiLO,THiLO,0.9196,dnb
liliane susewind ein kleiner hund mit grossem herz|,"Liliane Susewind, ein kleiner Hund mit grossem Herz",,9783104006758,Liliane Susewind – Ein kleiner Hund mit großem Herz Tanya Stewner,"Stewner, Tanya",0.8496,dnb
jim knopf und lukas der lokomotivfuhrer|michael ende,Jim Knopf und Lukas der Lokomotivführer,"Ende, Michael",9783522610469,Jim Knopf: Jim Knopf und Lukas der Lokomotivführer Michael Ende,"Ende, Michael",0.8292,dnb
hexe lilli band 020 und das leuchtende einhorn|knister,Hexe Lilli - Band 020 - und das leuchtende Einhorn,"Knister,",9783401711898,Hexe Lilli und das leuchtende Einhorn Knister,Knister,0.8599,dnb
die schonsten leselowen pferdegeschichten|,Die schönsten Leselöwen-Pferdegeschichten,,9783785541777,Die schönsten Leselöwen-Pferdegeschichten,,1.0000,dnb
die schonsten leselowen weihnachtsgeschichten|,Die schönsten Leselöwen-Weihnachtsgeschichten,,9783785575680,Die schönsten Leselöwen-Weihnachtsgeschichten Buch.,,0.9474,dnb
magische geschichten|thilo,Magische Geschichten,THiLO,9783473491629,Magische Geschichten von THiLO,THiLO,0.8500,dnb
spiel um dein schicksal|stella tack,Spiel um dein Schicksal,"Tack, Stella",9783473585670,Spiel um dein Schicksal Stella Tack,"Tack, Stella",0.8448,dnb
die nacht in der schule|anja janotta,Die Nacht in der Schule,"Janotta, Anja",9783407823878,Die Nacht in der Schule Anja Janotta,"Janotta, Anja",0.8347,dnb
nordlicht die tote am strand|anette hinrichs,Nordlicht - die Tote am Strand,"Hinrichs, Anette",9783985076468,Nordlicht - die Tote am Strand,"Hinrichs, Anette",1.0000,dnb
wie man alles verbockt und doch gewinnt|stephan knosel,Wie man alles verbockt und doch gewinnt,"Knösel, Stephan",9783737342414,Wie man alles verbockt und doch gewinnt Stephan Knösel,"Knösel, Stephan",0.8790,dnb
das orchideenhaus|lucinda riley,Das Orchideenhaus,"Riley, Lucinda",9783844531855,Das Orchideenhaus,"Riley, Lucinda",1.0000,dnb
lego ninjago die macht des spiels|,Lego Ninjago - Die Macht des Spiels,,9783960807520,LEGO Ninjago - die Macht des Spiels,,1.0000,dnb
die schonsten erstlesegeschichten fur clevere jungs|,Die schönsten Erstlesegeschichten für clevere Jungs,,9783811232419,Die schönsten Erstlesegeschichten für clevere Jungs,,1.0000,dnb
vielleicht die letzte liebe|rainer moritz,Vielleicht die letzte Liebe,"Moritz, Rainer",9783311151593,Vielleicht die letzte Liebe Rainer Moritz,"Moritz, Rainer",0.8456,dnb
im sturm des lebens|nora roberts,Im Sturm des Lebens,"Roberts, Nora",9783985079445,Im Sturm des Lebens,"Roberts, Nora",1.0000,dnb
die wunderbare weihnachtsreise|lori evert,Die wunderbare Weihnachtsreise,"Evert, Lori",9783833736599,Die wunderbare Weihnachtsreise,"Evert, Lori",1.0000,dnb
man wird doch wohl mal wutend werden durfen|,Man wird doch wohl Mal wütend werden dürfen,,9783844927917,Man wird doch wohl mal wütend werden dürfen Toon Tellegen,"Tellegen, Toon",0.8600,dnb
das schweiz wimmelbuch|,Das Schweiz Wimmelbuch,,9783907340141,Das Schweiz Wimmelbuch,,1.0000,dnb
die streithornchen|rachel bright,Die Streithörnchen,"Bright, Rachel",9783734877117,Die Streithörnchen,"Bright, Rachel",1.0000,dnb
gecko und das gluck des gebens|rachel bright,Gecko und das Glück des Gebens,"Bright, Rachel",9783734877124,Gecko und das Glück des Gebens,"Bright, Rachel",1.0000,dnb
der richter und sein henker|friedrich durrenmatt,Der Richter und sein Henker,"Dürrenmatt, Friedrich",9783716017197,Der Richter und sein Henker,"Dürrenmatt, Friedrich",1.0000,dnb
jim knopf lukas der lokomotivfuhrer|michael ende,Jim Knopf & Lukas Der Lokomotivführer,"Ende, Michael",9783522184991,Jim Knopf & Lukas der Lokomotivführer Michael Ende,"Ende, Michael",0.8825,dnb
101 dalmatiner|,101 Dalmatiner,,9783845122601,101 Dalmatiner,,1.0000,dnb
shaun das schaf der film|,Shaun das Schaf der Film,,9783641174774,Shaun das Schaf Der Film cbj,cbj,0.9231,dnb
kleiner eisbar lars und die pandabaren|,Kleiner Eisbär - Lars und die Pandabären,,9783314105302,Kleiner Eisbär - Lars und die Pandabären Hans de Beer,"Beer, Hans de",0.8539,dnb
die eiskonigin vollig unverfroren|,Die Eiskönigin - völlig unverfroren,,9781503770294,Die Eiskönigin - völlig unverfroren,,1.0000,dnb
komm ich zeige dir die wolfe|svenja ernsten,"Komm, ich zeige dir die Wölfe","Ernsten, Svenja",9783440165256,"Komm, ich zeige dir die Wölfe Svenja Ernsten","Ernsten, Svenja",0.8415,dnb
mein sach und mach sommer buch|,Mein Sach- und Mach-Sommer-Buch,,9783946360148,Mein Sach- und Mach-Sommer-Buch,,1.0000,dnb
